id,name,type,address,area,business_area,telephone,location,longitude,latitude,distance_from_center(m),rating,cost,open_time,tags,popularity_score,popularity_level,sales_estimate,featured_comment,comment_length,timestamp,has_real_comment
B0G3DNY8GA,瑞幸咖啡(南开大学津南校区店),餐饮服务;咖啡厅;咖啡厅,同砚路与祥明路交叉口东480米,津南区,,4000100100,"117.341763,38.985896",117.341763,38.985896,452.48,4.6,19.00,[],,8.7,非常受欢迎,高,,0,2025-12-05 22:20:35,False
B0KBX5G7MV,台峡糕点,餐饮服务;糕饼店;糕饼店,南开大学第二食堂对面,津南区,,15122281116,"117.341583,38.986096",117.341583,38.986096,466.43,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:11,False
B0LB7UZP25,王牌炖汤炒饺子,餐饮服务;中餐厅;中餐厅,南开大学津南校区院·网络空间安全学院西南侧60米,津南区,,无,"117.341575,38.986425",117.341575,38.986425,466.9,0.2,[],[],,0.4,较少人,低,,0,2025-12-05 22:14:27,False
B0IUP1NLG2,伊穆拉面馆(南大分店),餐饮服务;中餐厅;清真菜馆,同砚路与祥明路交叉口东440米,津南区,,无,"117.341495,38.985684",117.341495,38.985684,478.27,4.2,[],[],,8.4,受欢迎,中高,,0,2025-12-05 22:14:27,False
B0FFGM6K8E,南开大学美食广场,餐饮服务;快餐厅;快餐厅,海河教育园区同砚路38号南开大学(津南校区),津南区,,13141104567,"117.341383,38.985607",117.341383,38.985607,489.1,0.0,,,,0.0,较少人,低,,0,2025-12-05 22:22:25,False
B0L15S0DBR,优宜坊北京烤鸭·烤鸭饭,餐饮服务;中餐厅;中餐厅,同砚路与祥明路交叉口东420米,津南区,,无,"117.341375,38.985525",117.341375,38.985525,491.27,0.2,[],[],,0.4,较少人,低,,0,2025-12-05 22:14:28,False
B0H0XZ3CBQ,原之味美食城(南开大学店),餐饮服务;中餐厅;综合酒楼,津南海河教育区同砚路38号南开大学商业街理1-201,津南区,,16611803778,"117.341363,38.985537",117.341363,38.985537,492.07,4.5,33.00,08:00-23:59,,9.0,非常受欢迎,高,,0,2025-12-05 22:14:28,False
B0FFL3VV35,南开大学第二食堂(津南校区),餐饮服务;中餐厅;中餐厅,咸水沽镇海河教育园南开大学新校区同砚路38号,津南区,,13194691956,"117.341225,38.986165",117.341225,38.986165,497.08,4.5,15.00,06:30-09:00 10:30-13:30 16:30-19:00,,8.5,非常受欢迎,高,,0,2025-12-05 22:14:28,False
B0L2PCQP6T,肯德基(南开大学二店),餐饮服务;快餐厅;肯德基,海河教育园区同砚路38号理科商业街1-103/104,津南区,,13043202161,"117.341028,38.985556",117.341028,38.985556,520.29,3.9,[],07:00-22:00,,7.8,一般,中等,,0,2025-12-05 22:14:29,False
B0LG7R47E5,蜜雪冰城(南开大学津南校区店),餐饮服务;冷饮店;冷饮店,同德路与同心路交叉口南360米,津南区,,无,"117.343022,38.992298",117.343022,38.992298,750.71,4.4,12.00,[],,8.3,受欢迎,中高,,0,2025-12-05 22:19:42,False
