year,title,authors,link
2015,Going Deeper With Convolutions,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Szegedy_Going_Deeper_With_2015_CVPR_paper.html
2015,Propagated Image Filtering,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Chang_Propagated_Image_Filtering_2015_CVPR_paper.html
2015,Web Scale Photo Hash Clustering on A Single Machine,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Gong_Web_Scale_Photo_2015_CVPR_paper.html
2015,Expanding Object Detector's Horizon: Incremental Learning Framework for Object Detection in Videos,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Kuznetsova_Expanding_Object_Detectors_2015_CVPR_paper.html
2015,Supervised Discrete Hashing,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Shen_Supervised_Discrete_Hashing_2015_CVPR_paper.html
2015,"What do 15,000 Object Categories Tell Us About Classifying and Localizing Actions?",,https://openaccess.thecvf.comcontent_cvpr_2015/html/Jain_What_do_15000_2015_CVPR_paper.html
2015,Landmarks-Based Kernelized Subspace Alignment for Unsupervised Domain Adaptation,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Aljundi_Landmarks-Based_Kernelized_Subspace_2015_CVPR_paper.html
2015,Blur Kernel Estimation Using Normalized Color-Line Prior,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Lai_Blur_Kernel_Estimation_2015_CVPR_paper.html
2015,A Light Transport Model for Mitigating Multipath Interference in Time-of-Flight Sensors,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Naik_A_Light_Transport_2015_CVPR_paper.html
2015,Traditional Saliency Reloaded: A Good Old Model in New Shape,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Frintrop_Traditional_Saliency_Reloaded_2015_CVPR_paper.html
2015,Automatic Construction Of Robust Spherical Harmonic Subspaces,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Snape_Automatic_Construction_Of_2015_CVPR_paper.html
2015,Leveraging Stereo Matching With Learning-Based Confidence Measures,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Park_Leveraging_Stereo_Matching_2015_CVPR_paper.html
2015,Saliency Detection via Cellular Automata,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Qin_Saliency_Detection_via_2015_CVPR_paper.html
2015,Efficient Sparse-to-Dense Optical Flow Estimation Using a Learned Basis and Layers,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Wulff_Efficient_Sparse-to-Dense_Optical_2015_CVPR_paper.html
2015,Learning Multiple Visual Tasks While Discovering Their Structure,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Ciliberto_Learning_Multiple_Visual_2015_CVPR_paper.html
2015,Projection Metric Learning on Grassmann Manifold With Application to Video Based Face Recognition,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Huang_Projection_Metric_Learning_2015_CVPR_paper.html
2015,Structural Sparse Tracking,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Zhang_Structural_Sparse_Tracking_2015_CVPR_paper.html
2015,Data-Driven Depth Map Refinement via Multi-Scale Sparse Representation,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Kwon_Data-Driven_Depth_Map_2015_CVPR_paper.html
2015,Uncalibrated Photometric Stereo Based on Elevation Angle Recovery From BRDF Symmetry of Isotropic Materials,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Lu_Uncalibrated_Photometric_Stereo_2015_CVPR_paper.html
2015,Attributes and Categories for Generic Instance Search From One Example,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Tao_Attributes_and_Categories_2015_CVPR_paper.html
2015,Heat Diffusion Over Weighted Manifolds: A New Descriptor for Textured 3D Non-Rigid Shapes,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Abdelrahman_Heat_Diffusion_Over_2015_CVPR_paper.html
2015,A Dynamic Programming Approach for Fast and Robust Object Pose Recognition From Range Images,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Zach_A_Dynamic_Programming_2015_CVPR_paper.html
2015,Beyond Gaussian Pyramid: Multi-Skip Feature Stacking for Action Recognition,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Lan_Beyond_Gaussian_Pyramid_2015_CVPR_paper.html
2015,A Geodesic-Preserving Method for Image Warping,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Li_A_Geodesic-Preserving_Method_2015_CVPR_paper.html
2015,Shape Driven Kernel Adaptation in Convolutional Neural Network for Robust Facial Traits Recognition,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Li_Shape_Driven_Kernel_2015_CVPR_paper.html
2015,From Categories to Subcategories: Large-Scale Image Classification With Partial Class Label Refinement,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Ristin_From_Categories_to_2015_CVPR_paper.html
2015,Combination Features and Models for Human Detection,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Jiang_Combination_Features_and_2015_CVPR_paper.html
2015,Improving Object Detection With Deep Convolutional Networks via Bayesian Optimization and Structured Prediction,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Zhang_Improving_Object_Detection_2015_CVPR_paper.html
2015,A Metric Parametrization for Trifocal Tensors With Non-Colinear Pinholes,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Leonardos_A_Metric_Parametrization_2015_CVPR_paper.html
2015,An Efficient Volumetric Framework for Shape Tracking,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Allain_An_Efficient_Volumetric_2015_CVPR_paper.html
2015,Structured Sparse Subspace Clustering: A Unified Optimization Framework,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Li_Structured_Sparse_Subspace_2015_CVPR_paper.html
2015,Delving Into Egocentric Actions,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Li_Delving_Into_Egocentric_2015_CVPR_paper.html
2015,Latent Trees for Estimating Intensity of Facial Action Units,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Kaltwang_Latent_Trees_for_2015_CVPR_paper.html
2015,Robust Regression on Image Manifolds for Ordered Label Denoising,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Wu_Robust_Regression_on_2015_CVPR_paper.html
2015,Privacy Preserving Optics for Miniature Vision Sensors,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Pittaluga_Privacy_Preserving_Optics_2015_CVPR_paper.html
2015,Deep Transfer Metric Learning,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Hu_Deep_Transfer_Metric_2015_CVPR_paper.html
2015,Small-Variance Nonparametric Clustering on the Hypersphere,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Straub_Small-Variance_Nonparametric_Clustering_2015_CVPR_paper.html
2015,DynamicFusion: Reconstruction and Tracking of Non-Rigid Scenes in Real-Time,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Newcombe_DynamicFusion_Reconstruction_and_2015_CVPR_paper.html
2015,Reliable Patch Trackers: Robust Visual Tracking by Exploiting Reliable Patches,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Li_Reliable_Patch_Trackers_2015_CVPR_paper.html
2015,Predicting Eye Fixations Using Convolutional Neural Networks,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Liu_Predicting_Eye_Fixations_2015_CVPR_paper.html
2015,Kernel Fusion for Better Image Deblurring,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Mai_Kernel_Fusion_for_2015_CVPR_paper.html
2015,Direction Matters: Depth Estimation With a Surface Normal Classifier,,https://openaccess.thecvf.comcontent_cvpr_2015/html/Hane_Direction_Matters_Depth_2015_CVPR_paper.html
2015,"Modeling Local and Global Deformations in Deep Learning: Epitomic Convolution, Multiple Instance Learning, and Sliding Window Detection",,https://openaccess.thecvf.comcontent_cvpr_2015/html/Papandreou_Modeling_Local_and_2015_CVPR_paper.html
